id,generation,fname,lname,gender,birthDate,deathDate,age,marriedYear,marriedAge,personality,clanName,spouseId,fatherId,motherId,parentNodeId
0,0,Gustavus,Banfill,M,7/21/1701,2/9/1767,66,1719,18,ESTP,Blacksteel,,,,-1
1,0,Lowe,Dimond,M,1/15/1703,9/27/1793,90,1719,16,ESFJ,Akira,0,,,0
2,1,Adrienne,Anmore,F,1/14/1721,12/12/1819,98,1752,31,ESTJ,Akira,,0,1,1
3,1,Lurleen,Quayle,F,10/15/1722,2/11/1811,89,1752,30,ESFP,Akira,2,,,2
4,2,Jannel,Heyns,F,9/13/1752,8/22/1830,78,1795,43,ISTP,Akira,,2,3,3
5,2,Nerte,Witcomb,F,5/11/1767,10/14/1842,75,1795,28,ISFJ,Ashenfire,4,,,4
6,3,Hedi,Penbarthy,F,9/22/1797,5/19/1864,67,1817,20,ISFJ,Ashenfire,,4,5,5
7,3,Diann,Tomankiewicz,F,2/21/1778,1/9/1855,77,1817,39,ENTP,Aoki,6,,,6
8,4,Eyde,Warters,F,1/15/1820,1/14/1881,61,,,ESTP,Aoki,,6,7,7
9,4,Hayden,Pudding,M,5/5/1831,9/16/1915,84,,,ESTP,Aoki,,6,7,7
10,4,Kurt,Kneafsey,M,11/5/1839,10/18/1905,66,,,ENFP,Aoki,,6,7,7
11,4,Nedda,Froome,F,3/19/1851,3/28/1922,71,1892,41,ESFP,Ashenfire,,6,7,7
12,4,Luciano,Shemelt,M,8/11/1848,2/25/1902,54,1892,44,ESFJ,Aoki,11,,,11
13,5,Maddalena,Fleis,F,3/2/1892,10/22/1961,69,1922,30,ESFJ,Ashenfire,,11,12,12
14,5,Shell,Britney,M,1/6/1891,2/17/1966,75,1922,31,ESTJ,Aoki,13,,,13
15,6,Reinhard,Bousler,M,3/23/1922,7/3/2012,90,1941,19,ENTP,Aoki,,13,14,14
16,6,Mio,Sweeten,F,6/16/1902,5/1/1982,80,1941,39,ENFP,Ashenmourn,15,,,15
17,7,Jasen,MacAughtrie,M,8/19/1941,3/13/2031,90,,,ESTJ,Aoki,,15,16,16
18,7,Harriot,McClenaghan,F,5/25/1953,4/28/2012,59,1988,35,ISTP,Ashenmourn,,15,16,16
19,7,Grissel,Eggerton,F,7/25/1940,12/23/2004,64,1988,48,ESTP,Ashenmourn,18,,,18
20,8,Kissee,Rippin,F,7/22/1988,8/8/2078,90,,,ISTJ,Ashenmourn,,18,19,19
21,8,Bob,Doerffer,M,2/21/1996,7/11/2089,93,,,ESFP,Ashenmourn,,18,19,19
22,8,Umi,Harris,F,9/28/2006,12/2/2081,75,2031,25,ESFP,Ashenmourn,,18,19,19
23,8,Kora,Litel,F,10/19/2017,9/7/2093,76,,,ESTP,Ashenmourn,,18,19,19
27,7,Tobi,Stoile,F,6/23/1972,5/16/2054,82,,,ESFJ,Aoki,,15,16,16
29,5,Dell,Daily,M,4/14/1901,1/6/1962,61,1934,33,ESFP,Ashenfire,,11,12,12
30,5,Baryram,Lattin,M,9/2/1895,10/4/1985,90,1934,39,ISTJ,Akira,29,,,29
31,6,Patrick,Cowderoy,M,8/26/1934,2/22/2010,76,1961,27,INFP,Ashenfire,,29,30,30
32,6,Jilli,Mockett,F,4/11/1934,4/18/1989,55,1961,27,ESTJ,Blacksteel,31,,,31
33,7,Roley,Ottosen,M,5/23/1964,11/18/2062,98,,,ESFP,Blacksteel,,31,32,32
34,7,Kaye,Senn,F,11/26/1978,8/1/2042,64,2015,37,ESFP,Ashenfire,,31,32,32
35,7,Natty,Langlois,M,1/18/1986,1/5/2066,80,2015,29,ESFJ,Ashenfire,34,,,34
36,8,Brett,Mattioli,F,12/24/2015,10/21/2081,66,,,ESFP,Ashenfire,,34,35,35
43,7,Anderea,Rushmer,F,1/18/1989,6/2/2096,107,,,ENTP,Blacksteel,,31,32,32
44,7,Bernard,Lichfield,M,1/21/2003,12/6/2079,76,,,ESTJ,Blacksteel,,31,32,32
46,6,Lynea,Bramley,F,5/2/1950,1/7/2019,69,1980,30,ESTJ,Akira,,29,30,30
47,6,Finn,Bennellick,M,10/17/1941,2/12/2029,88,1980,39,ESFP,Ashenmourn,46,,,46
48,7,Gabie,Smidmor,F,9/13/1980,3/24/2067,87,2018,38,ISFJ,Akira,,46,47,47
49,7,Markos,Holdforth,M,1/19/1988,5/9/2070,82,2018,30,ESTP,Nightshade,48,,,48
50,8,Darill,Berresford,M,6/21/2018,3/28/2077,59,2052,34,ESTP,Akira,,48,49,49
54,7,Georgia,Hannay,F,12/28/1989,6/27/2079,90,2007,18,ESFJ,Akira,,46,47,47
55,7,Hugh,Vanezis,M,12/5/1978,5/24/2062,84,2007,29,ESTP,Ashenmourn,54,,,54
56,8,Geraldine,Mc Gee,F,10/1/2007,1/9/2091,84,,,ESTJ,Akira,,54,55,55
57,8,Lorita,Simononsky,F,9/20/2014,2/3/2101,87,,,ESTP,Akira,,54,55,55
60,7,Granthem,Feng,M,7/23/2001,8/16/2065,64,,,ENFJ,Akira,,46,47,47
61,7,Minna,Gostyke,F,10/4/2013,11/1/2110,97,2046,33,ISTP,Ashenmourn,,46,47,47
63,6,Dorette,Redparth,F,9/3/2009,9/15/2087,78,2037,28,ESTP,Ashenfire,,29,30,30
64,5,Coletta,Claremont,F,6/3/1940,2/1/2035,95,,,ENFJ,Aoki,,11,12,12
65,5,Cheslie,Brafferton,F,5/23/1961,6/13/2016,55,,,ESTP,Aoki,,11,12,12
66,4,Nola,Sharvill,F,3/22/1868,4/24/1943,75,,,ESTP,Aoki,,6,7,7
67,4,Daven,Eberdt,M,7/13/1885,12/19/1968,83,,,ESTJ,Aoki,,6,7,7
68,3,Minne,MacAvaddy,F,3/24/1810,5/25/1887,77,,,ESFJ,Akira,,4,5,5
69,2,Birdie,Gribbell,F,1/8/1761,9/5/1851,90,,,ESTJ,Akira,,2,3,3
70,2,Ginger,McFade,F,7/4/1773,4/20/1840,67,,,ESFJ,Akira,,2,3,3
71,2,Mitchel,Aujouanet,M,4/5/1786,5/22/1884,98,,,INTJ,Akira,,2,3,3
72,2,Donovan,Sorrowweaver,M,3/24/1796,1/3/1894,98,,,ISFJ,Akira,,2,3,3
73,2,Serge,Olliar,M,6/24/1810,1/4/1894,84,,,ESTP,Akira,,2,3,3
74,2,Corny,Gallally,F,2/18/1818,3/10/1908,90,1846,28,ESTJ,Akira,,2,3,3
75,2,Nedda,Scotchbrook,F,6/12/1812,7/3/1888,76,1846,34,ESFJ,Ashenfire,74,,,74
76,3,Riannon,Girke,F,12/10/1846,10/23/1921,75,,,ESFP,Ashenfire,,74,75,75
77,3,Faythe,Allum,F,1/15/1856,4/14/1911,55,,,INFP,Ashenfire,,74,75,75
78,3,Yetty,Collumbell,F,6/1/1870,9/2/1960,90,,,ENFJ,Ashenfire,,74,75,75
79,3,Corney,Lighterness,M,10/18/1882,3/23/1972,90,,,ESFP,Ashenfire,,74,75,75
