fname,lname,gender,birthDate,deathDate,age,marriedYear,marriedAge,personality,clanName,spouseId,fatherId,motherId,parentNodeId
Eolande,Dissman,F,5/26/1701,2/26/1755,54,1719,18,ESTP,Blacksteel,,,,-1
Mylo,Croucher,M,8/13/1703,9/1/1803,100,1719,16,ESFJ,Akira,0,,,0
Aigneis,Rosenschein,F,7/2/1721,9/9/1798,77,1752,31,ESTJ,Akira,,0,1,1
Kile,MacGarvey,M,1/23/1722,1/24/1793,71,1752,30,ESFP,Akira,2,,,2
Georges,Angove,M,7/9/1752,9/7/1846,94,1795,43,ISTP,Akira,,2,3,3
Norbert,Willoughley,M,10/4/1767,11/19/1852,85,1795,28,ISFJ,Ashenfire,4,,,4
Thayne,Aartsen,M,9/27/1797,11/6/1874,77,1817,20,ISFJ,Ashenfire,,4,5,5
Sherie,Jurca,F,5/2/1778,5/2/1865,87,1817,39,ENTP,Aoki,6,,,6
Brinna,Creasey,F,8/12/1820,12/3/1901,81,,,ESTP,Aoki,,6,7,7
Asa,Forsythe,M,6/13/1831,6/14/1921,90,,,ESTP,Aoki,,6,7,7
Gratia,Webb-Bowen,F,7/22/1839,8/12/1891,52,,,ENFP,Aoki,,6,7,7
Cinnamon,Claybourn,F,12/9/1851,7/2/1934,83,1892,41,ESFP,Ashenfire,,6,7,7
Eliot,Winning,M,8/22/1848,3/21/1933,85,1892,44,ESFJ,Aoki,11,,,11
Barbaraanne,Lusk,F,6/5/1892,2/16/1970,78,1922,30,ESFJ,Ashenfire,,11,12,12
Beck,Kenyon,M,9/14/1891,1/18/1976,85,1922,31,ESTJ,Aoki,13,,,13
Selestina,Spittles,F,11/11/1922,8/28/2014,92,1941,19,ENTP,Aoki,,13,14,14
Barbi,Klimowicz,F,1/7/1902,3/19/1988,86,1941,39,ENFP,Ashenmourn,15,,,15
Julian,Antonik,M,8/27/1941,5/16/2035,94,,,ESTJ,Aoki,,15,16,16
Gunter,Sturges,M,8/8/1953,3/25/2052,99,1988,35,ISTP,Ashenmourn,,15,16,16
Skippie,Brakespear,M,2/13/1940,2/14/2019,79,1988,48,ESTP,Ashenmourn,18,,,18
Micah,Marin,M,9/22/1988,2/10/2075,87,,,ISTJ,Ashenmourn,,18,19,19
Marty,Westrey,M,3/10/1996,7/15/2090,94,,,ESFP,Ashenmourn,,18,19,19
Fidelio,Becarra,M,4/17/2006,1/19/2091,85,2031,25,ESFP,Ashenmourn,,18,19,19
Phaidra,Aicken,F,6/6/2017,4/21/2111,94,,,ESTP,Ashenmourn,,18,19,19
Horton,Jowett,M,3/28/1972,7/17/2053,81,,,ESFJ,Aoki,,15,16,16
Silvana,Stuke,F,7/6/1901,7/17/1989,88,1934,33,ESFP,Ashenfire,,11,12,12
Horton,Cleever,M,12/7/1895,9/10/1969,74,1934,39,ISTJ,Akira,29,,,29
Trenna,Backwell,F,8/20/1934,12/4/2024,90,1961,27,INFP,Ashenfire,,29,30,30
Ruperta,Pfeiffer,F,3/5/1934,12/12/2011,77,1961,27,ESTJ,Blacksteel,31,,,31
Thorvald,Laden,M,8/14/1964,8/28/2052,88,,,ESFP,Blacksteel,,31,32,32
Payton,Hu,M,12/17/1978,1/8/2074,96,2015,37,ESFP,Ashenfire,,31,32,32
Darcy,Giacometti,F,9/11/1986,8/22/2061,75,2015,29,ESFJ,Ashenfire,34,,,34
Greyson,Toler,M,8/4/2015,9/7/2090,75,,,ESFP,Ashenfire,,34,35,35
Sibyl,Rushmer,M,6/24/1989,8/13/2077,88,,,ENTP,Blacksteel,,31,32,32
Ramsey,Widd,M,2/27/2003,8/17/2075,72,,,ESTJ,Blacksteel,,31,32,32
Vanya,Swiffen,M,3/8/1950,12/13/2044,94,1980,30,ESTJ,Akira,,29,30,30
Adah,Gomar,F,11/24/1941,4/4/2026,85,1980,39,ESFP,Ashenmourn,46,,,46
Pacorro,Rate,M,9/25/1980,2/28/2061,81,2018,38,ISFJ,Akira,,46,47,47
Ardra,Cellier,F,9/16/1988,11/19/2076,88,2018,30,ESTP,Silentshadow,48,,,48
Noemi,Peasee,F,11/4/2018,1/8/2072,54,2052,34,ESTP,Akira,,48,49,49
Mattie,Rickard,F,10/23/1989,2/19/2067,78,2007,18,ESFJ,Akira,,46,47,47
Ferdy,Welburn,M,7/27/1978,7/23/2072,94,2007,29,ESTP,Ashenmourn,54,,,54
Barron,Clixby,M,5/19/2007,1/23/2104,97,,,ESTJ,Akira,,54,55,55
Leonidas,Christophers,M,5/6/2014,11/27/2108,94,,,ESTP,Akira,,54,55,55
Barnett,Josifovic,M,4/12/2001,9/2/2088,87,,,ENFJ,Akira,,46,47,47
Husain,McGibbon,M,9/4/2013,7/13/2086,73,2046,33,ISTP,Ashenmourn,,46,47,47
Andrea,Holton,M,3/4/2009,2/11/2116,107,2037,28,ESTP,Ashenfire,,29,30,30
Emilio,Channing,M,5/21/1940,3/7/2030,90,,,ENFJ,Aoki,,11,12,12
Matelda,Bremmell,F,5/2/1961,6/21/2051,90,,,ESTP,Aoki,,11,12,12
Hunfredo,Bampfield,M,5/6/1868,2/7/1942,74,,,ESTP,Aoki,,6,7,7
Far,Boneham,M,3/9/1885,11/2/1970,85,,,ESTJ,Aoki,,6,7,7
Margaretha,Seczyk,F,6/16/1810,10/20/1883,73,,,ESFJ,Akira,,4,5,5
Pacorro,Strewthers,M,1/3/1761,9/7/1857,96,,,ESTJ,Akira,,2,3,3
Jonis,Treadwell,F,2/11/1773,10/8/1845,72,,,ESFJ,Akira,,2,3,3
Ramsay,Kinavan,M,5/5/1786,6/14/1880,94,,,INTJ,Akira,,2,3,3
Emelita,Webermann,F,6/6/1796,2/12/1868,72,,,ISFJ,Akira,,2,3,3
Boot,Hearse,M,2/15/1810,9/8/1902,92,,,ESTP,Akira,,2,3,3
Vale,Bodega,M,9/14/1818,3/16/1912,94,1846,28,ESTJ,Akira,,2,3,3
Felicity,Algar,F,5/11/1812,1/15/1898,86,1846,34,ESFJ,Ashenfire,74,,,74
Martino,Courageheart,M,1/28/1846,12/3/1900,54,,,ESFP,Ashenfire,,74,75,75
Nappy,Prando,M,10/8/1856,12/19/1941,85,,,INFP,Ashenfire,,74,75,75
Zsa zsa,Lilley,F,6/7/1870,5/27/1964,94,,,ENFJ,Ashenfire,,74,75,75
Adolpho,Pinhorn,M,4/21/1882,11/1/1955,73,,,ESFP,Ashenfire,,74,75,75
Natsumi,Crozier,F,1/27/1892,8/14/1966,74,,,ESFP,Ashenfire,,74,75,75
Skipper,Dik,M,9/14/1902,2/23/1986,84,1934,32,ESFP,Akira,,74,75,75
Bronnie,Steuhlmeyer,M,7/25/1888,9/3/1951,63,1934,46,ENTP,Ashenmourn,81,,,81
Vi,Goodman,F,12/20/1935,12/20/2025,90,,,ESTP,Ashenmourn,,81,82,82
Lannie,Cantwell,M,2/24/1947,7/1/2042,95,,,ENFJ,Ashenmourn,,81,82,82
Kare,Andrassy,F,10/19/1953,3/16/2026,73,,,ESTJ,Ashenmourn,,81,82,82
Sheri,Kobus,F,8/25/1967,10/27/2057,90,2000,33,ISTP,Akira,,81,82,82
